27005.2*A,AHH,AMERY MUNI,AMERY,WI,AGL,CHI,PU,45-16-52.1340N,092-22-31.4120W,PU,,General Aviation,,N,100LLA,,16,13900 
05829.*A,AMW,AMES MUNI,AMES,IA,ACE,NONE,PU,41-59-31.4000N,093-37-18.6000W,PU,,General Aviation,,N,100  A,CHTR  INSTR  RNTL  SALES,73,33751 
90009.*A,CYEY,AMOS/MAGNY,AMOS,,,NONE,PU,48-33-50.0000N,078-14-59.0000W,PU,,NON-NPIAS,,N,,,0,0 
26098.1*A,74S,ANACORTES,ANACORTES,WA,ANM,SEA,PU,48-29-54.6000N,122-39-45.0000W,PU,,General Aviation,,N,100  A,AFRT  AMB  CHTR,33,9000 
18785.*A,F68,ANADARKO MUNI,ANADARKO,OK,ASW,AOK,PU,35-03-07.9000N,098-15-50.6000W,PU,,NON-NPIAS,,N,,AGRI,10,1000 
90010.*A,CAJ4,ANAHIM LAKE,ANAHIM LAKE,,,NONE,PU,52-27-08.0000N,125-18-16.0000W,PU,,NON-NPIAS,,N,100  A,,0,0 
50032.*A,AKP,ANAKTUVUK PASS,ANAKTUVUK PASS,AK,AAL,NONE,PU,68-08-01.0000N,151-44-36.0000W,PU,,Commercial Service,,N,,,0,3600 
26123.1*A,S97,ANDERSON FIELD,BREWSTER,WA,ANM,SEA,PU,48-06-17.5250N,119-43-14.2060W,PU,,General Aviation,,N,,AGRI  CHTR  INSTR  RNTL,7,14600 
05090.1*A,AID,ANDERSON MUNI-DARLINGTON FIELD,ANDERSON,IN,AGL,CHI,PU,40-06-31.0000N,085-36-46.8000W,PU,,General Aviation,,Y,100LLA    MOGAS,AFRT  CHTR  INSTR  RNTL  SALES,74,20914 
22102.*A,AND,ANDERSON RGNL,ANDERSON,SC,ASO,ATL,PU,34-29-40.5000N,082-42-33.8000W,PU,IV A U 12/1992,General Aviation,,N,100LLA,AFRT  AMB  CARGO  CHTR  INSTR  RNTL,71,51890 
23336.*A,E11,ANDREWS COUNTY,ANDREWS,TX,ASW,TEX,PU,32-19-50.7107N,102-31-46.8742W,PU,,General Aviation,,N,100LLA,,33,10400 
09568.*A,C20,ANDREWS UNIVERSITY AIRPARK,BERRIEN SPRINGS,MI,AGL,DET,PU,41-57-03.8000N,086-22-05.1000W,PR,,NON-NPIAS,,N,100LL,INSTR,31,7300 
01722.5*A,S51,ANDY MC BETH,KLAMATH GLEN,CA,AWP,SFO,PU,41-30-43.3000N,123-59-44.4000W,PU,,NON-NPIAS,,N,,,0,1200 
51512.01*A,ANG,ANGAUR AIRSTRIP,ANGAUR ISLAND,,,HNL,PU,06-54-00.0000N,134-09-00.0000E,PU,,NON-NPIAS,,N,,,0,1500 
14534.*A,AXX,ANGEL FIRE,ANGEL FIRE,NM,ASW,LNM,PU,36-25-19.2010N,105-17-23.6580W,PU,,General Aviation,,N,100LLA,,6,6000 
24249.*A,LFK,ANGELINA COUNTY,LUFKIN,TX,ASW,TEX,PU,31-14-02.5000N,094-45-00.0000W,PU,,General Aviation,,N,100LLA+,,73,33700 
50037.6*C,AGN,ANGOON,ANGOON,AK,AAL,NONE,PU,57-30-12.7990N,134-35-06.3380W,PU,,General Aviation,,N,,,0,1150 
01244.8*A,2O3,ANGWIN-PARRETT FIELD,ANGWIN,CA,AWP,SFO,PU,38-34-48.1000N,122-26-07.7000W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,42,10000 
50038.*A,ANI,ANIAK,ANIAK,AK,AAL,NONE,PU,61-34-53.7490N,159-32-34.9540W,PU,,Primary,Non-Hub,N,100LLA,CARGO,18,2600 
02586.24*A,00C,ANIMAS AIR PARK,DURANGO,CO,ANM,DEN,PU,37-12-11.4420N,107-52-09.1030W,PR,,NON-NPIAS,,N,100LLA,AMB  CARGO  CHTR  INSTR  RNTL  SURV,45,10950 
05834.3*A,Y43,ANITA MUNI-KEVIN BURKE MEMORIAL FIELD,ANITA,IA,ACE,NONE,PU,41-26-24.9540N,094-46-10.9250W,PU,,NON-NPIAS,,N,,,1,1000 
05835.1*A,IKV,ANKENY RGNL,ANKENY,IA,ACE,NONE,PU,41-41-28.1000N,093-33-59.4000W,PU,,Reliever,,N,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,99,48600 
